date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
1998-06-30_Q2,116000000,90000000,26000000,0.224138,9000000,30000000,0,0,44000000,134000000,-4000000,1000000,-26000000,-0.224138,-18000000,-0.155172,0,-23000000,-0.198276,0,-23000000,-0.198276,-0.06,-0.06,293000000,293000000
1998-03-31_Q1,87000000,68000000,19000000,0.218391,7000000,22000000,0,0,29000000,97000000,0,2000000,-8000000,-0.091954,-10000000,-0.114943,0,-10000000,-0.114943,0,-10000000,-0.114943,-0.04,-0.04,283000000,283000000
1997-12-31_Q4,66000000,53000000,13000000,0.19697,5000000,19000000,0,0,24000000,77000000,1000000,1000000,-9000000,-0.136364,-11000000,-0.166667,0,-11000000,-0.166667,0,-11000000,-0.166667,-0.04,-0.04,279000000,279000000
1997-09-30_Q3,38000000,31000000,7000000,0.184211,4000000,13000000,0,0,17000000,48000000,1000000,1000000,-8000000,-0.210526,-10000000,-0.263158,0,-10000000,-0.263158,0,-10000000,-0.263158,-0.04,-0.04,275000000,275000000
1997-06-30_Q2,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
1997-03-31_Q1,16000000,12000000,4000000,0.25,2000000,5000000,0,0,7000000,19000000,0,0,-3000000,-0.1875,-3000000,-0.1875,0,-3000000,-0.1875,0,-3000000,-0.1875,-0.01,-0.01,233000000,233000000
1996-12-31_Q4,8000000,7000000,2000000,0.25,1000000,3000000,0,0,4000000,11000000,0,0,-2000000,-0.25,-2000000,-0.25,0,-2000000,-0.25,0,-2000000,-0.25,-0.01,-0.01,229000000,229000000
1996-09-30_Q3,4000000,3000000,1000000,0.25,1000000,3000000,0,0,4000000,7000000,0,0,-2000000,-0.5,-2000000,-0.5,0,-2000000,-0.5,0,-2000000,-0.5,-0.01,-0.01,228000000,228000000
1996-06-30_Q2,2000000,2000000,0,0,0,1000000,0,0,1000000,3000000,0,0,-1000000,-0.5,-1000000,-0.5,0,-1000000,-0.5,0,-1000000,-0.5,0,0,220000000,220000000
1996-03-31_Q1,1000000,1000000,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213000000,213000000
