,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
1985-02-22 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-25 16:00:00,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-26 16:00:00,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-27 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-28 16:00:00,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-01 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-04 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-05 16:00:00,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-06 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-07 16:00:00,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-08 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-11 16:00:00,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-12 16:00:00,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-13 16:00:00,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-14 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-15 16:00:00,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-18 16:00:00,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-19 16:00:00,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-20 16:00:00,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-21 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-22 16:00:00,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-25 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-26 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-27 16:00:00,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-28 16:00:00,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,
